Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Cádiz;Alcalá de los Gazules;;W5.71;N36.43;12;
2;ESP;Cádiz;Alcalá del Valle;;W5.15;N36.93;12;
2;ESP;Cádiz;Algar;;W5.64;N36.66;12;
2;ESP;Cádiz;Algeciras;;W5.451;N36.125;10;
2;ESP;Cádiz;Algodonales;;W5.43;N36.88;12;
2;ESP;Cádiz;Arcos de la Frontera;;W5.81;N36.75;10;
2;ESP;Cádiz;Barbate;;W5.94;N36.19;12;
2;ESP;Cádiz;Los Barrios;;W5.54;N36.22;12;
2;ESP;Cádiz;Benalup-Casas Viejas;;W5.77;N36.32;12;
2;ESP;Cádiz;Benaocaz;;W5.46;N36.71;12;
2;ESP;Cádiz;Bornos;;W5.71;N36.84;12;
2;ESP;Cádiz;El Bosque;;W5.51;N36.75;12;
2;ESP;Cádiz;Cádiz;;W6.28;N36.52;10;
2;ESP;Cádiz;Castellar de la Frontera;;W5.46;N36.32;12;
2;ESP;Cádiz;Chiclana de la Frontera;;W6.13;N36.40;12;
2;ESP;Cádiz;Chipiona;;W6.43;N36.73;12;
2;ESP;Cádiz;Conil de la Frontera;;W6.09;N36.30;12;
2;ESP;Cádiz;Espera;;W5.79;N36.87;12;
2;ESP;Cádiz;El Gastor;;W5.35;N36.84;12;
2;ESP;Cádiz;Grazalema;;W5.39;N36.77;12;
2;ESP;Cádiz;Jerez de la Frontera;;W6.12;N36.69;10;
2;ESP;Cádiz;Jimena de la Frontera;;W5.43;N36.42;12;
2;ESP;Cádiz;La Línea de la Concepción;;W5.35;N36.18;12;
2;ESP;Cádiz;Medina-Sidonia;;W5.80;N36.36;12;
2;ESP;Cádiz;Olvera;;W5.25;N36.96;12;
2;ESP;Cádiz;Paterna de Rivera;;W5.85;N36.52;12;
2;ESP;Cádiz;Prado del Rey;;W5.55;N36.80;12;
2;ESP;Cádiz;El Puerto de Santa María;;W6.23;N36.61;12;
2;ESP;Cádiz;Puerto Real;;W6.15;N36.53;12;
2;ESP;Cádiz;Puerto Serrano;;W5.48;N36.98;12;
2;ESP;Cádiz;Rota;;W6.352;N36.651;10;
2;ESP;Cádiz;San Fernando;;W6.21;N36.44;12;
2;ESP;Cádiz;San José del Valle;;W5.69;N36.61;12;
2;ESP;Cádiz;San Roque;;W5.33;N36.25;12;
2;ESP;Cádiz;Sanlúcar de Barrameda;;W6.35;N36.78;10;
2;ESP;Cádiz;Setenil de las Bodegas;;W5.17;N36.88;12;
2;ESP;Cádiz;Tarifa;;W5.81;N36.75;10;
2;ESP;Cádiz;Torre Alháquime;;W5.23;N36.91;12;
2;ESP;Cádiz;Trebujena;;W6.22;N36.87;12;
2;ESP;Cádiz;Ubrique;;W5.47;N36.67;12;
2;ESP;Cádiz;Vejer de la Frontera;;W5.97;N36.27;12;
2;ESP;Cádiz;Villaluenga del Rosario;;W5.37;N36.69;12;
2;ESP;Cádiz;Villamartín;;W5.59;N36.85;12;
2;ESP;Cádiz;Zahara;;W5.44;N36.84;12;
